City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
374,bukama,-9.2,25.85,75.6,84,100,2.33,1675325630
375,gornopravdinsk,60.05,69.9,22.77,94,85,4.97,1675325631
376,alice springs,-23.7,133.8833,88.21,40,40,10.36,1675325632
377,keti bandar,24.1447,67.4497,76.44,21,5,2.01,1675325633
378,oakland,42.6667,-83.3999,20.59,71,75,5.99,1675325451
379,evensk,61.95,159.2333,-3.41,88,100,6.33,1675325633
380,sitio novo do tocantins,-5.5183,-47.4611,70.99,99,100,2.44,1675325634
381,tecoanapa,16.5167,-98.75,73.35,62,0,3.0,1675325635
382,grand-lahou,5.1367,-5.0242,80.78,84,12,3.62,1675325635
383,kudahuvadhoo,2.6708,72.8944,80.29,65,26,13.69,1675325636
384,dubti,11.7361,41.0853,81.5,43,14,2.26,1675325636
385,americus,32.0724,-84.2327,55.53,100,100,0.0,1675325570
386,goundam,16.4145,-3.6708,64.54,10,6,5.86,1675325637
387,paita,-5.0892,-81.1144,74.89,78,100,5.93,1675325638
388,sungaipenuh,-2.0833,101.3833,78.76,51,91,6.31,1675325639
389,geraldton,-28.7667,114.6,93.61,31,15,24.16,1675325095
390,lancaster,40.2504,-76.2499,26.51,68,0,3.44,1675325101
391,wahiawa,21.5028,-158.0236,68.63,82,40,3.44,1675325640
392,cayenne,4.9333,-52.3333,71.64,100,100,0.0,1675325210
393,funadhoo,6.15,73.2667,79.93,72,79,13.35,1675325641
394,mana,5.6592,-53.7767,74.25,89,99,3.8,1675325642
395,asekeyevo,53.5742,52.7972,19.74,93,100,7.83,1675325643
396,mahebourg,-20.4081,57.7,86.29,70,40,5.75,1675325644
397,ulety,51.3572,112.4849,13.21,77,98,8.75,1675325645
